â€˜Date','PnL'
10/2/2018,22309.375
10/3/2018,-32492.74809
10/4/2018,-12437.15136
10/5/2018,-44001.48458
10/8/2018,-31478.44383
10/9/2018,-23307.63973
10/10/2018,41018.94397
10/11/2018,-93770.79352
10/12/2018,2830.690537
10/15/2018,32382.04911
10/16/2018,-14700.33656
10/17/2018,-3701.498127
10/18/2018,14740.0252
10/19/2018,-15240.59489
10/22/2018,1473.708333
10/23/2018,-38833.16391
10/24/2018,-9408.135169
10/25/2018,26794.20103
10/26/2018,-20671.81467
10/29/2018,26558.17717
10/30/2018,33415.47464
10/31/2018,7491.946309
11/1/2018,-9108.209571
11/2/2018,43925.98522
11/5/2018,27929.47625
